RA,Dec,Vmag,Bmag,B-V
92.311822,24.523164,14.8876,15.624,0.7364
92.294745,24.523179,13.2054,13.8349,0.6295
92.210561,24.523631,14.5286,15.9136,1.385
92.51303,24.523039,13.2363,13.9456,0.7093
92.30889,24.522745,14.0688,14.6482,0.5794
92.050458,24.522102,15.6988,16.6819,0.9831
92.082907,24.521673,14.7583,15.3822,0.6239
92.020802,24.521501,16.1733,16.8902,0.7169
92.540251,24.523718,17.327,18.7467,1.4197
92.175783,24.522317,17.0324,18.1485,1.1161
92.389421,24.522647,17.3972,18.2069,0.8097
92.54272,24.521332,13.5428,14.7009,1.1581
92.287532,24.521648,16.7543,17.9017,1.1474
92.534494,24.522299,17.0724,18.4395,1.3671
92.506951,24.521713,17.0819,17.8914,0.8095
92.348163,24.520986,15.8906,16.9553,1.0647
92.319648,24.52058,14.7545,15.214,0.4595
92.209588,24.520413,16.7967,17.73,0.9333
92.490646,24.521092,16.4362,17.1451,0.7089
92.23527,24.520295,17.0451,18.0668,1.0217
92.026467,24.518887,17.4272,18.1851,0.7579
92.406447,24.519987,16.9601,18.3446,1.3845
92.544107,24.519757,15.1554,16.1042,0.9488
92.233021,24.519235,17.8815,18.4997,0.6182
92.249676,24.518056,17.2923,18.0402,0.7479
92.107995,24.516832,15.9966,17.0103,1.0137
92.517336,24.518349,15.9975,17.2385,1.241
92.517354,24.518355,15.9961,17.2385,1.2424
92.247132,24.517352,16.0768,17.2716,1.1948
92.0673,24.516255,16.6094,17.4483,0.8389
92.427573,24.516843,13.9745,14.6645,0.69
92.075218,24.515915,16.5364,17.368,0.8316
92.274622,24.516626,16.3202,17.621,1.3008
92.206153,24.516645,16.9622,18.2538,1.2916
92.29679,24.516751,16.6046,17.4285,0.8239
92.028127,24.515176,15.4345,16.145,0.7105
92.492693,24.515778,13.9884,14.6176,0.6292
92.413996,24.51609,16.0464,16.8305,0.7841
92.54574,24.515769,14.8666,15.8261,0.9595
92.363733,24.515768,16.9084,17.6685,0.7601
92.142174,24.514932,17.1889,17.992,0.8031
92.079585,24.514304,17.0292,17.9644,0.9352
91.986967,24.513733,16.9087,18.1075,1.1988
92.331797,24.514638,15.6979,16.6035,0.9056
92.315356,24.513504,15.2818,16.0973,0.8155
92.550956,24.514013,15.4496,16.4618,1.0122
91.987183,24.511741,15.5504,16.3956,0.8452
92.364062,24.513349,15.6412,16.4728,0.8316
92.360214,24.512613,13.8955,14.6715,0.776
92.058127,24.510788,14.7378,15.4249,0.6871
92.058121,24.510786,14.7378,15.4249,0.6871
91.996885,24.511851,16.0457,17.001,0.9553
92.145807,24.5119,14.4285,15.7027,1.2742
92.467254,24.513345,17.123,18.0037,0.8807
92.166632,24.511904,15.8575,16.7626,0.9051
92.135935,24.511452,14.8811,15.758,0.8769
92.116707,24.511483,16.9682,17.8319,0.8637
92.025794,24.509827,12.0701,13.2917,1.2216
92.025785,24.509822,12.0703,13.2917,1.2214
92.341355,24.511874,16.5854,17.5643,0.9789
92.036406,24.509973,15.0902,15.5342,0.444
91.990774,24.510312,17.3259,18.3553,1.0294
92.388005,24.511427,15.5337,16.458,0.9243
92.190628,24.511242,17.4018,18.2871,0.8853
92.498823,24.511436,15.2401,16.4413,1.2012
92.330051,24.511223,16.9037,17.7088,0.8051
92.479655,24.511421,16.7234,17.6216,0.8982
92.072241,24.509474,16.7294,17.699,0.9696
92.106144,24.509253,16.1368,17.1368,1
92.243125,24.509987,17.4783,18.3152,0.8369
92.468528,24.509466,13.7626,14.4378,0.6752
92.44387,24.51027,16.6581,17.4613,0.8032
92.378543,24.510024,17.3808,18.1165,0.7357
92.47542,24.509815,17.3849,18.3894,1.0045
92.064189,24.507661,16.7927,17.5932,0.8005
92.534156,24.509435,16.6638,17.4503,0.7865
92.501626,24.509205,16.3961,17.0963,0.7002
92.45182,24.508846,16.7813,17.8082,1.0269
92.133446,24.507637,16.9627,17.7873,0.8246
92.087738,24.507392,16.5804,17.5521,0.9717
92.191817,24.507659,16.7796,17.5775,0.7979
92.521169,24.508674,17.3984,18.1334,0.735
92.197422,24.506935,16.5332,17.6463,1.1131
92.329736,24.507256,16.9119,18.3257,1.4138
92.21774,24.506595,15.9441,16.6261,0.682
92.007738,24.505208,14.9637,15.7365,0.7728
92.363151,24.506675,15.1468,15.9366,0.7898
92.35815,24.506743,16.0199,16.6829,0.663
92.392169,24.506567,15.6195,16.5541,0.9346
92.242475,24.505759,15.75,16.9603,1.2103
92.24874,24.504647,12.1468,12.5621,0.4153
92.494597,24.506552,17.0605,18.0708,1.0103
92.470422,24.505956,15.9524,16.8556,0.9032
92.282312,24.505007,14.5051,15.6586,1.1535
92.155745,24.504813,16.1763,17.0869,0.9106
92.051288,24.504455,17.6259,18.3744,0.7485
92.460607,24.505536,17.2649,17.98,0.7151
92.381609,24.505034,17.2328,18.0202,0.7874
92.077227,24.503048,15.8758,16.757,0.8812
92.515951,24.504818,16.7876,17.6263,0.8387
92.48243,24.50451,15.8109,16.7545,0.9436
92.467212,24.501702,11.9893,12.62,0.6307
92.492394,24.504301,16.6123,17.6419,1.0296
92.178156,24.502986,15.5487,16.6128,1.0641
92.173768,24.503151,17.0036,17.6115,0.6079
92.170282,24.502729,16.5964,17.1726,0.5762
92.541612,24.504084,17.4584,18.0408,0.5824
92.188866,24.50234,16.9937,17.7588,0.7651
92.317605,24.502452,16.0845,16.9153,0.8308
