RA,Dec,Vmag,Bmag,B-V
89.343951,28.873367,16.7796,17.619,0.8394
89.279976,28.872924,14.8281,15.6228,0.7947
89.786743,28.874617,16.525,17.3319,0.8069
89.645875,28.873476,15.6236,16.4187,0.7951
89.64588,28.873476,15.6236,16.4187,0.7951
89.594377,28.874278,17.761,18.594,0.833
89.414903,28.87277,16.6919,17.6156,0.9237
89.775465,28.873225,14.5936,15.6478,1.0542
89.614404,28.873806,17.6136,18.4466,0.833
89.463704,28.872003,13.9762,14.3598,0.3836
89.757273,28.873305,15.467,16.1507,0.6837
89.561289,28.873196,17.1667,18.2169,1.0502
89.537457,28.872839,16.5297,17.3181,0.7884
89.76486,28.873608,17.5846,18.3167,0.7321
89.489583,28.87227,17.3214,18.4288,1.1074
89.468916,28.872267,17.7828,18.3444,0.5616
89.485176,28.872093,17.5057,18.3608,0.8551
89.690077,28.872857,17.461,18.3498,0.8888
89.351474,28.870586,16.6133,17.6059,0.9926
89.716994,28.871917,17.1343,17.96,0.8257
89.415264,28.870736,17.0905,17.892,0.8015
89.283067,28.869855,17.0693,17.7706,0.7013
89.733723,28.871311,15.8038,16.7268,0.923
89.455358,28.869889,17.2347,18.276,1.0413
89.665555,28.86996,14.8624,15.3057,0.4433
89.726079,28.870474,17.3469,18.2255,0.8786
89.560833,28.869607,15.7811,16.4579,0.6768
89.322459,28.868741,16.8478,17.7188,0.871
89.415268,28.870736,17.0905,17.892,0.8015
89.783471,28.870057,16.9132,17.7629,0.8497
89.670797,28.870023,17.4237,18.2429,0.8192
89.564554,28.868859,14.9727,15.9098,0.9371
89.375791,28.868399,16.2767,17.0275,0.7508
89.659422,28.869398,16.8924,18.1,1.2076
89.568221,28.868216,13.7339,14.3078,0.5739
89.275022,28.867462,16.8043,17.5854,0.7811
89.818052,28.869568,17.6087,18.5353,0.9266
89.343028,28.868052,17.9042,18.7029,0.7987
89.493005,28.868164,16.6966,17.4386,0.742
89.587276,28.868611,17.7906,18.5707,0.7801
89.514887,28.867731,15.8721,16.6249,0.7528
89.315722,28.867366,17.6573,18.6349,0.9776
89.790821,28.868581,16.2874,17.0551,0.7677
89.696689,28.86862,17.194,18.1458,0.9518
89.665536,28.86996,14.8624,15.3057,0.4433
89.340914,28.866475,16.3959,17.6952,1.2993
89.660915,28.867593,15.8107,16.6116,0.8009
89.506708,28.866752,15.8764,16.6618,0.7854
89.697047,28.866484,14.8967,15.7756,0.8789
89.453339,28.866462,16.7602,17.5595,0.7993
89.537577,28.866419,15.7019,16.2555,0.5536
89.697071,28.866483,14.9001,15.7756,0.8755
89.265043,28.864727,16.6521,17.3932,0.7411
89.795134,28.866618,15.3877,16.1515,0.7638
89.780671,28.86659,15.7242,16.2455,0.5213
89.675717,28.865841,16.2275,16.9506,0.7231
89.568227,28.868203,13.734,14.3078,0.5738
89.514881,28.867729,15.8662,16.6249,0.7587
89.394875,28.86494,16.739,17.5333,0.7943
89.299315,28.864052,15.19,16.2692,1.0792
89.28904,28.864253,17.1821,17.9537,0.7716
89.260659,28.863671,15.6004,16.3982,0.7978
89.498622,28.865224,17.7181,18.3824,0.6643
89.41961,28.864659,17.0055,17.7945,0.789
89.361832,28.864487,17.5772,18.4531,0.8759
89.352488,28.864255,16.0947,16.8378,0.7431
89.306047,28.864207,17.4462,18.3037,0.8575
89.800196,28.865299,16.6207,17.2861,0.6654
89.630233,28.864971,17.2044,17.9648,0.7604
89.449033,28.864261,17.0575,17.8887,0.8312
89.792043,28.864435,15.5617,16.3353,0.7736
89.715218,28.864298,16.7368,17.6425,0.9057
89.728338,28.86337,13.952,14.5681,0.6161
89.460563,28.862493,16.126,16.8935,0.7675
89.271583,28.861299,16.6558,17.4769,0.8211
89.662495,28.862823,15.7753,16.9529,1.1776
89.747253,28.862894,15.8459,16.614,0.7681
89.693785,28.862321,14.2471,14.7404,0.4933
89.408827,28.862124,17.7807,18.7605,0.9798
89.65295,28.862543,17.1256,17.8574,0.7318
89.457926,28.861746,17.0196,17.9262,0.9066
89.432374,28.861017,16.7133,17.5973,0.884
89.333687,28.860131,16.4912,17.3162,0.825
89.591982,28.861281,16.8417,17.5336,0.6919
89.478323,28.860495,16.184,17.069,0.885
89.439751,28.860228,16.7968,17.9614,1.1646
89.382333,28.859688,17.5629,18.5638,1.0009
89.707554,28.8598,13.9466,15.1866,1.24
89.697729,28.859731,16.4605,17.1967,0.7362
89.364777,28.857673,16.428,17.2449,0.8169
89.375549,28.858606,17.6897,18.5956,0.9059
89.624687,28.859101,15.8774,16.9773,1.0999
89.796615,28.859719,17.8604,18.706,0.8456
89.594921,28.858293,14.2973,15.4891,1.1918
89.348312,28.857588,15.7796,16.843,1.0634
89.364743,28.857679,16.434,17.2449,0.8109
89.581856,28.858533,16.9443,17.799,0.8547
89.696908,28.857768,15.5488,16.0788,0.53
89.783988,28.857527,15.575,16.3077,0.7327
89.753208,28.857896,16.8672,17.6517,0.7845
89.415621,28.856618,17.1461,17.9037,0.7576
89.373773,28.855909,16.5323,17.7094,1.1771
89.691691,28.857135,17.2437,18.1322,0.8885
89.43225,28.855981,16.491,17.3064,0.8154
89.34913,28.855745,17.6016,18.1728,0.5712
89.691681,28.857134,17.2428,18.1322,0.8894
89.432282,28.855986,16.4871,17.3064,0.8193
89.778479,28.855868,14.794,15.4951,0.7011
89.615849,28.85568,15.5018,16.2473,0.7455
89.554555,28.855756,16.7531,17.42,0.6669
89.281949,28.854393,17.4614,18.2717,0.8103
89.316209,28.853994,17.0124,17.7313,0.7189
89.743078,28.855644,17.2484,18.4354,1.187
89.656753,28.855106,16.6799,17.4997,0.8198
89.576397,28.854123,15.2988,15.9228,0.624
89.576393,28.854123,15.2984,15.9228,0.6244
89.412412,28.853817,15.8937,16.6517,0.758
89.276106,28.853223,16.7279,17.5444,0.8165
89.733601,28.85524,17.229,18.0377,0.8087
89.527838,28.853957,16.7812,17.3024,0.5212
89.544006,28.853731,17.038,17.9041,0.8661
89.555187,28.852851,14.9654,15.6809,0.7155
89.634569,28.853134,16.8912,17.6105,0.7193
89.285365,28.851052,14.6222,15.2247,0.6025
89.72528,28.853299,16.7959,17.8251,1.0292
89.543993,28.853728,17.0588,17.9041,0.8453
89.321109,28.851425,16.6333,17.5572,0.9239
89.775558,28.852438,16.2335,16.9479,0.7144
89.632426,28.851545,13.8887,14.5909,0.7022
89.632415,28.851546,13.8887,14.5909,0.7022
89.53862,28.850757,14.1178,14.8922,0.7744
89.246458,28.850518,17.2418,18.4412,1.1994
89.753225,28.852426,17.3253,18.2904,0.9651
89.753228,28.852425,17.3252,18.2904,0.9652
89.434175,28.851502,17.6649,18.542,0.8771
89.794029,28.852128,16.1941,16.6837,0.4896
89.55035,28.850519,13.6547,14.5149,0.8602
89.824483,28.852158,17.4259,18.1533,0.7274
89.665999,28.851676,17.7546,18.6095,0.8549
89.615967,28.85139,17.1585,17.935,0.7765
89.545674,28.851124,17.6654,18.4703,0.8049
89.742138,28.851084,14.7297,15.819,1.0893
89.578854,28.850353,15.2608,16.4452,1.1844
89.482657,28.850078,15.2002,16.0711,0.8709
89.459133,28.849916,16.112,16.9761,0.8641
89.377691,28.850089,17.3738,18.2151,0.8413
89.685963,28.850244,16.2572,17.5142,1.257
89.783594,28.850497,17.2841,18.1148,0.8307
89.469901,28.849011,15.968,16.6955,0.7275
89.280418,28.848051,17.0074,17.7838,0.7764
89.767001,28.849518,15.4547,16.8187,1.364
89.650738,28.848811,15.5795,16.3458,0.7663
89.650768,28.84881,15.5829,16.3458,0.7629
89.467677,28.848798,16.8899,17.6963,0.8064
89.315009,28.847408,16.1542,17.0398,0.8856
89.607386,28.849064,17.5838,18.5169,0.9331
89.698547,28.847644,13.6181,14.5756,0.9575
89.389761,28.846574,13.5281,14.1138,0.5857
89.790199,28.848259,16.4725,17.1805,0.708
89.770728,28.848391,17.052,18.0264,0.9744
89.728269,28.848536,17.5494,18.3781,0.8287
89.681106,28.847854,17.3087,18.1727,0.864
89.510695,28.846514,15.3281,15.913,0.5849
89.429752,28.846608,17.4971,18.325,0.8279
89.266622,28.845444,16.8625,17.6428,0.7803
89.774554,28.847065,16.7747,17.6332,0.8585
89.521396,28.845901,17.6653,18.4057,0.7404
89.810697,28.846214,15.5556,16.1879,0.6323
89.709664,28.846344,16.6048,17.3485,0.7437
89.507895,28.843427,13.8162,14.5238,0.7076
89.507903,28.843433,13.8159,14.5238,0.7079
89.389792,28.846578,13.528,14.1138,0.5858
89.698562,28.847644,13.618,14.5756,0.9576
89.641295,28.845462,17.473,18.1482,0.6752
89.48274,28.844213,16.1805,17.1212,0.9407
89.482709,28.844218,16.181,17.1212,0.9402
89.439335,28.843792,14.7429,15.2151,0.4722
89.432471,28.844337,17.2332,18.1477,0.9145
89.312933,28.843598,16.5757,17.4007,0.825
89.243723,28.843091,17.8483,18.7442,0.8959
89.291788,28.842091,13.4481,14.3323,0.8842
89.2416,28.842409,16.5104,17.2877,0.7773
89.687455,28.844223,15.6277,17.0065,1.3788
89.472651,28.843049,13.9069,14.7501,0.8432
89.291787,28.84209,13.4481,14.3323,0.8842
89.315724,28.841604,17.1221,18.1112,0.9891
89.254496,28.840208,15.3041,16.4803,1.1762
89.313051,28.840807,16.8295,17.4783,0.6488
89.811232,28.842069,14.6524,14.9981,0.3457
89.553591,28.841756,16.8321,17.5633,0.7312
89.241536,28.840459,17.5374,18.6764,1.139
89.359497,28.839013,16.5102,17.2109,0.7007
89.672947,28.841295,17.177,18.1069,0.9299
89.783087,28.841465,17.2501,18.2265,0.9764
89.713096,28.841104,18.0115,18.5369,0.5254
89.544366,28.840175,16.2238,17.0075,0.7837
89.595134,28.840262,17.5104,18.1832,0.6728
89.461197,28.838822,15.0219,16.6319,1.61
89.359492,28.839015,16.5093,17.2109,0.7016
89.694423,28.840288,16.9922,17.8,0.8078
89.668408,28.840125,16.5519,17.618,1.0661
89.660003,28.840048,17.1414,18.1218,0.9804
89.558924,28.839519,17.1283,17.9298,0.8015
89.298281,28.838393,17.4967,18.187,0.6903
89.549044,28.838208,15.3262,16.071,0.7448
89.480934,28.837924,15.7735,16.808,1.0345
89.660915,28.838105,16.2204,17.1607,0.9403
89.738449,28.838379,16.7354,17.6704,0.935
89.344644,28.836374,15.5084,16.2834,0.775
89.64456,28.837731,17.4057,18.3929,0.9872
89.756351,28.836669,13.1873,13.8119,0.6246
89.638706,28.837464,16.9862,17.7763,0.7901
89.274586,28.835652,16.5913,17.4186,0.8273
89.247523,28.835186,17.0864,18.3643,1.2779
89.333152,28.835938,17.2142,18.0682,0.854
89.615745,28.836634,15.3064,15.9981,0.6917
89.384913,28.835845,16.6358,17.3613,0.7255
89.658859,28.836409,16.2118,17.214,1.0022
89.247515,28.835187,17.0864,18.3643,1.2779
89.300621,28.833436,15.2674,16.2235,0.9561
89.759751,28.834822,16.9173,17.7535,0.8362
89.75975,28.834822,16.9173,17.7535,0.8362
89.274145,28.832921,17.0371,17.9044,0.8673
89.647419,28.834184,16.8558,18.1602,1.3044
89.827299,28.833326,13.9692,14.3454,0.3762
89.762729,28.833898,16.1046,16.8196,0.715
